manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
internauta ;; osoba korzystająca z zasobów internetu, przeglądająca strony internetowe, komunikująca się za pomocą mediów społecznościowych oraz wykorzystująca inne usługi dostępne w sieci.
ryk ;; głośny dźwięk wydawany przez niektóre zwierzęta, np. lwy, niedźwiedzie, czy tygrysy, mający na celu komunikację z innymi przedstawicielami gatunku.
glukoza ;; prosty cukier występujący w organizmach żywych, będący ważnym źródłem energii dla komórek.
skarga ;; oficjalne zgłoszenie negatywnych uwag lub narzekań na działania lub sytuacje, zazwyczaj skierowane do odpowiedniego organu lub instytucji w celu rozwiązania problemu lub podjęcia działań naprawczych.
przerzut ;; szybkie przeniesienie lub zmiana pozycji ciała do innego miejsca podczas aktywności fizycznej, zwłaszcza w grach sportowych.
możność ;; zdolność lub szansa na dokonanie czegoś lub zaistnienie określonego zdarzenia.
telenowela ;; gatunek telewizyjny obejmujący serial fabularny o rozbudowanej fabule, zwykle skupiający się na napiętych relacjach międzyludzkich, emocjach i romansach.
charakterystyka ;; zestaw cech, właściwości lub szczegółowych informacji opisujących i wyróżniających dany obiekt, osobę lub zjawisko.
balsam ;; substancja lub substancje roślinne używane do leczenia lub pielęgnacji skóry, często charakteryzujące się właściwościami łagodzącymi i kojącymi.
trick ;; sztuczka lub chwyt stosowany w celu oszukania kogoś lub zaimponowania, zwłaszcza w kontekście magii lub rozrywki.
eter ;; ether is a colorless, highly flammable liquid with a sweet odor, used as a solvent and anesthetic in medical procedures.
cent ;; jednostka równa jednej setnej części głównej jednostki, stosowana głównie w walutach. w przypadku dolara amerykańskiego, cent jest równy 1/100 dolara.
sala ;; pomieszczenie przeznaczone do organizowania spotkań, wykładów, koncertów lub innych wydarzeń.
prezes ;; osoba zajmująca najwyższe stanowisko w firmie lub organizacji, odpowiedzialna za podejmowanie strategicznych decyzji i reprezentowanie przedstawicieli interesów firmy.
dyskomfort ;; uczucie nieprzyjemności, dyskomfortu lub braku wygody, często towarzyszące niewygodnej sytuacji lub warunkom.
kartonik ;; mała pudełko lub opakowanie wykonane z tektury lub innego tworzywa sztucznego, służące do przechowywania drobnych przedmiotów.
łyk ;; niewielka ilość płynu lub pokarmu, którą można wypić jednym razem.
cmentarzysko ;; miejsce, gdzie pochowuje się zmarłych, zwykle zlokalizowane na terenie osiedla lub w okolicy miejscowości.
kotek ;; mały ssak mięsożerny, popularne zwierzę domowe, często trzymane jako towarzysz człowieka ."
part ;; is a component or piece of a larger whole.
poronienie ;; przedwczesne zakończenie ciąży, które skutkuje utratą płodu przed osiągnięciem przez niego zdolności do samodzielnego życia poza organizmem matki. ."
środa ;; trzeci dzień tygodnia, następujący po wtorku i poprzedzający czwartek.
trunek ;; płynny napój alkoholowy spożywany przez ludzi, najczęściej w celach rekreacyjnych lub towarzyskich.
status ;; pojęciem określającym aktualny stan lub sytuację, w jakiej znajduje się dana osoba, grupa lub obiekt, często używany w kontekście społecznym, zawodowym lub prawny.
wędkarstwo ;; działalność polegająca na połowie ryb za pomocą wędki, przynęty i zanęty.
łatwość ;; cecha polegająca na wykonywaniu czegoś bez trudu, bez problemów czy trudności.
słuchowisko ;; rodzaj audycji radiowej lub teatralnej, opartej głównie na dźwiękach i dialogach, często z elementami muzyki i dźwięków specjalnych, przeznaczone do słuchania.
rodzynek ;; rodzynkiem nazywamy suszone winogrono, które charakteryzuje się słodkim smakiem i ciemnobrązowym lub czarnym kolorem.
misjonarz ;; osoba religijna, która głosi nauki swojej wiary i prowadzi działalność misyjną w celu szerzenia jej zasad wśród ludzi, często podejmując wysiłki na rzecz pomocy społecznej i humanitarnej.
chirurg ;; lekarz specjalizujący się w przeprowadzaniu operacji i zabiegów chirurgicznych.
wierszyk ;; krótka forma literacka, zwykle napisana wierszem, charakteryzująca się prostotą, rytmicznym układem i często zawierająca elementy rymowane.
pszenica ;; roślina z rodziny wiechlinowatych, uprawiana głównie ze względu na swoje ziarna, które są stosowane do produkcji mąki i innych produktów spożywczych.
studio ;; miejsce, w którym wykonywane są prace artystyczne, nagrania muzyczne lub filmowe, projekty graficzne, czy inne działania związane z kreatywnością.
pleśń ;; grzybopodobny organizm rozwijający się na powierzchniach wilgotnych, ciepłych i źle wentylowanych, charakteryzujący się nieprzyjemnym zapachem oraz zielono-czarnym kolorem.
tłumik ;; elementem mechanicznym lub akustycznym, którego głównym zadaniem jest redukcja lub kontrolowanie generowanego hałasu lub drgań w urządzeniach mechanicznych, pojazdach czy narzędziach.
felieton ;; krótki, publicystyczny tekst, zazwyczaj o charakterze osobistym, w którym autor komentuje bieżące wydarzenia, sprawy społeczne lub polityczne, przedstawiając swoje własne poglądy i opinie.
wyrobisko ;; miejsce, w którym dokonywane są prace wydobywcze lub budowlane, zwykle w celu pozyskania surowców naturalnych lub wykonania konkretnej infrastruktury.
podział ;; proces lub rezultat dzielenia czegoś na części lub fragmenty.
zderzak ;; element znajdujący się z przodu lub z tyłu pojazdu, mający za zadanie absorbować energię podczas zderzenia oraz chronić karoserię.
kaczka ;; wodny ptak z rodziny kaczkowatych, cechujący się charakterystycznym dziobem i pływającymi na wodzie.
buzia ;; potoczne określenie twarzy, zwłaszcza w kontekście wyrazu jej nastroju lub emocji.
stanowczość ;; cecha charakteryzująca się zdecydowanym, pewnym siebie i nieugiętym postępowaniem w działaniu lub wypowiadaniu się.
parada ;; uroczyste, publiczne wydarzenie, podczas którego przedstawiane są zorganizowane grupy osób prezentujące się w określony sposób, najczęściej w formie pochodu ulicznego.
psi ;; przede wszystkim forma liczby mnogiej od słowa ""pies"", oznaczająca więcej niż jedno zwierzę należące do gatunku psa.
tandem ;; pojazd, w którym jedna osoba siedzi obok drugiej wzdłuż osi jazdy, zazwyczaj używany do wspólnego przemieszczania się lub spędzania czasu.
komputer ;; elektroniczne urządzenie, które przetwarza dane za pomocą programów komputerowych, wykorzystując pamięć operacyjną i magazynową.
pobocze ;; teren przyległy do drogi, ulicy lub innego miejsca, zazwyczaj przeznaczony dla pieszych lub stojących pojazdów.
trzonek ;; część przedłużająca się zazwyczaj od rękojeści broni białej, narzędzia lub przedmiotu, służąca do uchwytu lub osadzenia w innej części.
alba ;; biała szata liturgiczna noszona przez duchownych podczas celebracji mszy świętej.
odpis ;; kopia dokumentu, listu lub innego tekstu wykonana z zachowaniem oryginalnej treści.
terakota ;; rodzaj materiału ceramicznego o charakterystycznej czerwonej barwie, wykorzystywany głównie do produkcji żaroodpornych wyrobów rzemieślniczych oraz elementów architektonicznych.
sos ;; płynna lub gęsta substancja przygotowywana z dodatków smakowych, podawana zazwyczaj do potraw w celu urozmaicenia ich smaku.
autonomiczność ;; zdolność do samodzielnego funkcjonowania i podejmowania decyzji bez zewnętrznej kontroli lub ingerencji.
planetarium ;; miejsce, w którym prezentowane są projekcje nieba z gwiazdami, planetami i innymi obiektami kosmicznymi, symulując ich ruchy i pozycje na ekranie kopuły.
masyw ;; duże i rozległe pasmo górskie o charakterystycznej budowie geologicznej.
przyjemność ;; pozytywne uczucie lub doznanie, które daje satysfakcję i cieszenie.
wolontariat ;; forma działalności społecznej, polegająca na świadczeniu bezpłatnej pracy na rzecz innych osób lub organizacji.
ulica ;; droga publiczna służąca do ruchu pojazdów oraz pieszych, zazwyczaj granicząca z zabudowaniami miejskimi.
jeż ;; roślinożerny ssak z rodziny jeżowatych, charakteryzujący się kolczastym osłonkiem na grzbiecie.
smażenie ;; proces gotowania potrawy na rozgrzanej powierzchni, często z użyciem tłuszczu, w celu uzyskania chrupiącej skórki lub złocistego wykończenia.
siodło ;; element wyposażenia jeździeckiego, służący do umieszczenia na grzbiecie konia, umożliwiający jeźdźcowi wygodne i stabilne miejsce do siedzenia.
miks ;; połączenie różnych elementów w celu uzyskania nowego, zazwyczaj harmonijnego efektu. może dotyczyć muzyki, sztuki, a także innych dziedzin, gdzie łączone są różnorodne składniki. ."
balon ;; lekki, wypełniony gazem lub powietrzem przedmiot w kształcie sferycznym lub owalnym, powszechnie używany jako dekoracja lub zabawka.
mrówka ;; małe społeczne owady z rzędu błonkówek, charakteryzujące się silnie zorganizowanymi koloniami oraz zdolnością do podziału prac wewnątrz gniazda.
kosa ;; narzędzie rolnicze służące do koszenia traw, zboża lub innych roślin.
egzamin ;; forma oceny umiejętności i wiedzy przeprowadzana w celu sprawdzenia kompetencji ucznia, studenta lub kandydata do pracy.
kaftan ;; luźny, zazwyczaj długi, tradycyjny strój noszony głównie w krajach arabskich i wschodnich, zazwyczaj z długimi rękawami i zapinanym na guziki lub sznurki.
drewno ;; twardy, włóknisty materiał pochodzenia roślinnego, stanowiący główny składnik pnia drzewa.
odjazd ;; moment, w którym pojazd, np. pociąg, autobus lub samolot, opuszcza miejsce, z którego odjeżdża.
metamorfoza ;; proces przemiany lub przeobrażenia, szczególnie w aspekcie biologicznym, artystycznym lub symbolicznym.
dziekan ;; osoba odpowiedzialna za sprawy związane z danym wydziałem lub instytutem na uczelni wyższej, pełniąca funkcje administracyjne i reprezentacyjne.""
przewaga ;; stan, w którym jedna strona posiada wyraźną przewagę bądź przewyższa inną pod względem siły, zdolności, ilości lub jakości.
fot ;; skrót od słowa ""fotografia"" oznaczający fotograficzną dokumentację lub zdjęcie.
sygnał ;; informacją przesyłaną w formie bodźca, która może być odbierana i interpretowana przez odbiorcę.
inwestowanie ;; proces polegający na alokacji kapitału w aktywa finansowe, nieruchomości lub inne formy inwestycji w celu osiągnięcia zwrotu z zysków lub wzrostu wartości inwestycji w przyszłości.
zapomoga ;; pomoc finansowa lub materialna udzielana osobom potrzebującym ze względu na trudną sytuację życiową.
kontrahent ;; osoba biorąca udział w umowie lub transakcji handlowej, będąca drugą stroną w stosunku prawno-handlowym.
opodatkowanie ;; proces nakładania na podmioty lub przedmioty gospodarcze określonych podatków przez organy władzy publicznej w celu pozyskania środków finansowych na rzecz państwa lub innych instytucji publicznych.
powściągliwość ;; umiarkowanie w wyrażaniu emocji oraz w zachowaniu, kontrola nad reakcjami i opanowanie w sytuacjach trudnych.
zagroda ;; obszar otoczony płotem lub ogrodzeniem, służący do trzymania zwierząt gospodarskich lub hodowli roślin.
urbanistyka ;; dziedzina nauki zajmująca się planowaniem, projektowaniem i zarządzaniem miastami oraz przestrzenią miejską w celu poprawy warunków życia mieszkańców.
zaklęcie ;; forma magicznej formuły lub słowa, które posiada moc manifestacji określonych efektów lub zjawisk.
zarobek ;; suma pieniędzy zarobiona za wykonywanie określonych prac lub usług.
zdobywca ;; osoba, która zdobywa coś, najczęściej odnosi sukcesy w dążeniu do celu lub zdobywaniu nagród.
ambona ;; wyższe, ozdobne wzniesienie w kościele lub kaplicy, z którego wygłasza się kazania lub czyta teksty religijne.
ołów ;; chemiczny pierwiastek o symbolu pb, o znaczeniu szczególnie w przemyśle, używany m.in. do produkcji baterii, ołówków oraz w niektórych stopach metalicznych.
krążek ;; okrągły płaski przedmiot lub obiekt o okrągłym kształcie i zazwyczaj płaskiej powierzchni.
reportaż ;; gatunek dziennikarstwa literackiego, będący formą literacką relacjonowania faktów, oparty na badaniach terenowych i obserwacjach autora.
kręgosłup ;; szereg połączonych ze sobą kręgów, stanowiący centralną część szkieletu kręgowców, która pełni funkcję głównej osi ciała i chroni rdzeń kręgowy.
uroczystość ;; specjalne wydarzenie obchodzone ze względu na ważną okazję lub ceremonię, zazwyczaj charakteryzujące się podniosłą atmosferą oraz symbolicznymi gestami.
szerokość ;; wymiar określający odległość między dwoma przeciwnymi krawędziami, często mierzony w poziomie.
gruz ;; określenie na drobne, rozdrobnione kawałki skał, cegieł, betonu lub innych materiałów, które pozostają po zniszczeniu lub rozbiórce budynków lub innych obiektów.
katar ;; stan zapalny błony śluzowej nosa, charakteryzujący się wyciekiem śluzu z nosa, często występujący w przeziębieniu lub alergii.
koalicja ;; sojusz lub grono grup, partii politycznych lub pałetw społecznych, które współpracują ze sobą w celu osiągnięcia wspólnego celu lub zdobycia władzy.
gres ;; rodzaj płytki ceramicznej używanej głównie do wykończenia ścian i podłóg wewnątrz pomieszczeń.
inżynieria ;; dziedzina naukowa i techniczna zajmująca się projektowaniem, budowaniem i utrzymywaniem różnego rodzaju systemów, urządzeń oraz konstrukcji technicznych.
częstość ;; miara określająca liczbę wystąpień danego zjawiska w określonym czasie lub przestrzeni.
białaczka ;; nowotworowe schorzenie układu krwiotwórczego, charakteryzujące się nadmiernym namnażaniem białych krwinek w szpiku kostnym.
pętla ;; strukturą programistyczną, która pozwala na wielokrotne wykonywanie określonych instrukcji, dopóki warunek jest spełniony.
naśladowanie ;; proces polegający na naśladowaniu czyjegoś zachowania, gestów, stylu działania lub mowy w celu imitacji danej osoby lub sytuacji.
kolacja ;; ostatni posiłek spożywany pod koniec dnia, najczęściej spożywany wieczorem po pracy lub zajęciach. może składać się z lekkich potraw lub być bardziej obfitym posiłkiem, zależnie od kultury i zwyczajów regionu.
maksimum ;; największa wartość osiągnięta przez daną wielkość w danym zbiorze danych.
bet ;; postawienie pieniędzy na wynik jakiegoś zdarzenia, najczęściej sportowego, w nadziei na wygraną.
kamera ;; urządzenie służące do rejestrowania obrazu lub nagrywania filmów.
miarka ;; narzędzie służące do pomiaru długości lub objętości, używane głównie w celach pomiarowych lub kuchennych.
komplet ;; zestaw składający się z kilku elementów pasujących do siebie pod względem koloru, wzoru lub materiału, służący do dekoracji wnętrza lub użytku domowego.
początek ;; punkt, w którym coś się zaczyna lub rozpoczyna.
specjalistka ;; kobieta posiadająca wysoką wiedzę i umiejętności w określonej dziedzinie lub branży.
terapia ;; proces leczenia lub poprawy zdrowia fizycznego lub psychicznego za pomocą różnorodnych metod i technik prowadzony przez wykwalifikowanego specjalistę.
klient ;; osoba lub firma korzystająca z usług, produktów lub doradztwa oferowanych przez inną osobę lub firmę.
reforma ;; celowe i kompleksowe zmiany wprowadzane w instytucjach, systemach lub organizacjach w celu poprawy ich funkcjonowania lub dostosowania do zmieniających się warunków.
szlachetność ;; cecha charakteryzująca się szlachetnymi postawami, uczuciami i zachowaniami, takimi jak uczciwość, honorowość, sprawiedliwość oraz szlachetne intencje.
równość ;; stan, w którym dwie lub więcej rzeczy, osób lub pojęć są identyczne, równe lub równoważne w określonym kontekście.
wystawienie ;; czynność polegająca na umieszczeniu czegoś na widoku, zaprezentowaniu publicznie lub wystawieniu na sprzedaż.
uzależnianie ;; proces tworzenia silnej psychologicznej lub fizycznej zależności od substancji, zachowania lub innej osoby, co prowadzi do utraty kontroli i negatywnych skutków dla jednostki.
boży ;; oznacza należący do boga lub związany z bogiem.
intensyfikacja ;; proces zwiększania stopnia lub siły czegoś, np. emocji, działań, czy efektów.
islam ;; monoteistyczna religia założona przez proroka mahometa, oparta na koranie i hadisach, praktykowana głównie przez wyznawców tego wyznania.
pirat ;; osoba działająca bez zezwolenia na morzu, zajmująca się m.in. piractwem, kradzieżami, napaściami na statki handlowe.
niedokrwistość ;; stan, w którym organizm ma zbyt małą liczbę czerwonych krwinek bądź za mało hemoglobiny, co może prowadzić do niedotlenienia tkanek.
chciwość ;; niezdrowa skłonność do nieustannego dążenia do posiadania coraz większych ilości dóbr materialnych i bogactw, często kosztem innych wartości, takich jak empatia czy uczciwość.
jeep ;; marka samochodów terenowych znana ze swojej wytrzymałości i zdolności do jazdy w trudnym terenie.
ochrona ;; działanie mające na celu zapewnienie bezpieczeństwa i zabezpieczenie przed szkodliwymi czynnikami, osobami lub sytuacjami.
pułapka ;; urządzenie lub sposób działania, mające na celu złapanie lub schwytanie kogoś lub czegoś, zazwyczaj w sposób zdradliwy lub podstępny.
mieszaniec ;; potomstwo powstałe z krzyżówki między różnymi rasami, gatunkami lub odmianami organizmów.
ufa ;; oznacza mieć zaufanie, wiarę lub pewność w czyjąś uczciwość, prawdomówność lub lojalność.
krajobraz ;; zewnętrzny, naturalny obraz otoczenia lub terenu, obejmujący widoczne elementy takie jak teren, roślinność, wody oraz budowle i struktury.
streszczenie ;; krótka, zwięzła forma tekstu lub fabuły, zawierająca najważniejsze informacje i wydarzenia z oryginalnego dzieła.
kompromis ;; ugoda lub porozumienie osiągnięte poprzez wzajemne ustępstwa obu stron w celu rozwiązania konfliktu lub osiągnięcia wspólnego celu.
rów ;; linia na powierzchni ziemi, zwykle wydrążona, służąca do odprowadzania wody.
bez ;; partykuła w języku polskim, służąca do wyrażania braku czegoś lub stanu nieposiadania.
pkt ;; skrót od słowa ""punkt"", używany najczęściej w kontekście oznaczania punktu na mapie, liście, czy w tekście.
jon ;; atom lub cząsteczka, która posiada ładunek elektryczny, będący wynikiem utraty lub zdobycia elektronów.
ciecz ;; stan skupienia wody, charakteryzujący się brakiem ustalonej formy i zdolnością do dostosowywania się do kształtu naczynia, w którym się znajduje.
uprawnienie ;; prawo, pozwolenie lub przywilej do wykonywania określonych czynności lub korzystania z określonych uprawnień.
mianownik ;; forma gramatyczna występująca w deklinacji rzeczownika, określająca podmiot zdania lub cechy przedmiotu.
kierowniczka ;; żeńska forma słowa „kierownik”, oznaczającego osobę odpowiadającą za organizację i zarządzanie działem lub zespołem w pracy.
kolano ;; staw łączący udo z podudziem.
trałowiec ;; specjalny statek lub jednostka pływająca, przeznaczona do poszukiwania i usuwania min morskich lub innych niebezpiecznych przedmiotów z dna wód.
wykładzina ;; rodzaj pokrycia podłóg wykonanego z materiałów takich jak dywany, wykładziny pcv czy panele podłogowe, służący do wygłuszania pomieszczeń oraz poprawy estetyki wnętrza.
urbanizacja ;; proces wzrostu liczby ludności oraz rozwoju infrastruktury miejskiej w danej okolicy, co prowadzi do zwiększenia urbanizacji i zmian w strukturze społeczno-gospodarczej obszaru.
możliwość ;; określana jako zdolność do zrealizowania czegoś, potencjalna szansa na dokonanie lub osiągnięcie celu.
plakat ;; graficzne przedstawienie informacji lub reklamy, które jest wydrukowane lub namalowane na papierze lub innym materiale, zwykle w celu przekazania treści publiczności.
duplikat ;; kopia lub powielenie danego przedmiotu, dokumentu lub pliku, które mogą występować w celach archiwalnych, zapasowych lub w procesach replikacji danych.
historiografia ;; dziedzina nauki zajmująca się badaniem i metodami tworzenia historii, analizująca sposób, w jaki pisane są dzieje oraz interpretująca różne narracje historyczne.
posłuch ;; aktywne wsłuchiwanie się w czyjeś słowa lub prośby oraz odpowiednie reagowanie na nie.
porucznik ;; stopień wojskowy, zajmujący niższą rangą od kapitana, a wyższą od podporucznika.
nagranie ;; zapis dźwiękowy lub wideo, który został utrwalony za pomocą odpowiedniego urządzenia.
konsensus ;; kompromisowe porozumienie osiągnięte przez wszystkie strony zaangażowane w dyskusję lub proces decyzyjny.
czołg ;; gąsienicowy pojazd wojskowy, uzbrojony w działo lub karabiny maszynowe, służący głównie do ataku oraz wsparcia wojsk lądowych.
wić ;; skręcony wątek lub sznurek, często używany do wiązania lub zawijania czegoś.
lada ;; odmiana liczebnika ""lada"" oznaczająca ""jeden, pojedynczy""
trenerka ;; luźna bluza dresowa, najczęściej z kapturem, stosowana głównie do treningów sportowych lub jako element casualowego stroju.
przepis ;; instrukcja, zestaw kroków i składników niezbędnych do przygotowania dania lub napoju.
skutek ;; rezultat lub konsekwencja określonej przyczyny lub działania.
literat ;; osobą zajmującą się literaturą, tworzącą teksty literackie lub zajmującą się ich analizą i krytyką.
heroizm ;; postawa odwagi, poświęcenia i bohaterstwa przejawiana w obliczu trudności, zagrożeń lub niebezpieczeństw.
współzałożyciel ;; osoba, która razem z innymi brała udział w założeniu danej organizacji, firmy lub projektu.
mikser ;; urządzenie służące do mieszania składników podczas przygotowywania potraw, np. ciasta czy napojów.
koleś ;; potoczne określenie mężczyzny, przyjaciela lub znajomego, stosowane głównie w nieformalnych sytuacjach.
reakcja ;; proces, w którym ciało lub substancja zmienia swoje właściwości w wyniku oddziaływania z innym ciałem lub substancją.
ropień ;; stan zapalny skóry lub tkanek, objawiający się miejscowym zbiorem ropy w obrębie ustalonego worka.
car ;; is a motor vehicle with four wheels, usually designed for carrying passengers.
ciąg ;; uporządkowany zbiór elementów, które występują po sobie w określonej sekwencji.
szałwia ;; roślina zielna o silnym aromacie i właściwościach leczniczych, często wykorzystywana w kuchni oraz medycynie.
palcówka ;; popularne określenie na rodzaj przekąski składającej się z kromki chleba, posmarowanej pastą lub innym dodatkiem, zwykle podawaną na imprezach lub spotkaniach towarzyskich.
przepuklina ;; wypukłość w tkankach ciała, przez którą wewnętrzny narząd może przemieszczać się poza swoje naturalne miejsce.
przełyk ;; narząd anatomiczny znajdujący się między gardłem a żołądkiem, służący do transportu pokarmu do przewodu pokarmowego.
salon ;; przestrzeń w domu, służąca jako miejsce spotkań, relaksu i rozrywki dla domowników oraz gości.
ustawodawca ;; osoba lub instytucja odpowiedzialna za tworzenie, zmienianie i uchwalanie prawa.
wieś ;; obszar zamieszkały przez ludzi, charakteryzujący się mniejszą gęstością zabudowy i większą ilością terenów rolnych w porównaniu do miast.
włoski ;; język z grupy języków indoeuropejskich, oficjalny język we włoszech.
bis ;; włoskie słowo oznaczające ""jeszcze raz"". w muzyce oznacza powtórzenie fragmentu muzycznego lub całości utworu.
żurek ;; tradycyjna polska zupa kwasno-mączna, przyrządzana z zakwasu żytniego, białej kiełbasy, jajek i białego kiełbasianego.
tir ;; skrótowiec od francuskiego ""transport international routier"", oznaczający międzynarodowy transport drogowy towarów za pomocą ciężarówki.
kopa ;; niewielkie wzniesienie, zwykle wykonane poprzez nagromadzenie ziemi lub innych materiałów.
geograf ;; naukowiec zajmujący się badaniem powierzchni ziemi, jej form, procesów oraz zjawisk geograficznych, w tym rozmieszczenia ludności, zasobów naturalnych i struktur krajobrazowych.
sód ;; pierwiastek chemiczny o symbolu na i liczbie atomowej 11, należący do grupy metali alkalicznych. jest srebropodobnym metalem, reagującym silnie z wodą.
progresja ;; ciąg liczb lub zdarzeń, w którym każdy następny element różni się od poprzedniego według pewnego określonego wzoru.
morderca ;; osoba, która popełnia akt zabójstwa, celowo odbierając życie innemu człowiekowi.
lot ;; proces poruszania się w powietrzu, najczęściej za pomocą statku powietrznego, takiego jak samolot czy helikopter.
sakrament ;; święty obrzęd chrześcijański ustanowiony przez jezusa chrystusa, służący udzielaniu łaski bożej.
strofa ;; zbiór kilku wersów tworzących razem jedną część wiersza.
płaszczyzna ;; dwuwymiarowa powierzchnia, która nie ma objętości ani grubości, a jest nieskończona w dwóch wymiarach.
szyb ;; ruchomym elementem konstrukcyjnym służącym do otwierania i zamykania dostępu do pomieszczeń lub innych przestrzeni.
pokarm ;; substancja spożywana przez organizmy w celu odżywienia i dostarczenia niezbędnych składników odżywczych.
legalność ;; zgodność z obowiązującym prawem i normami, działanie zgodnie z prawem.
separacja ;; proces lub efekt oddzielania lub rozdzielania czegoś na części lub elementy.
hospodar ;; historyczny tytuł władcy mołdawii i wołoszczyzny.
błysk ;; nagłe i intensywne, krótkotrwałe świetliste zjawisko czy zjawienie.
bramka ;; element konstrukcyjny służący do kontrolowania dostępu do danego obszaru poprzez otwieranie i zamykanie przejścia.
szafka ;; mebel służący do przechowywania rzeczy, składający się z zamykanych drzwiczek lub szuflad.
znamię ;; niewielka zmiana skórna, która często jest przebarwieniem lub naroślą na skórze, różniącą się od otaczającego ją obszaru.
minerał ;; związek chemiczny o określonym składzie chemicznym i strukturze krystalicznej, występujący w skorupie ziemi w postaci naturalnych kryształów lub ziarnistych skał.
czambuł ;; potoczne określenie na małą, niespodziewaną awanturę lub nieporozumienie.
konduktor ;; osoba odpowiedzialna za organizację i kontrolę przebiegu podróży pasażerów w transporcie publicznym, głównie w pociągach.
ratownik ;; osoba wyszkolona do udzielania pomocy medycznej w sytuacjach zagrożenia życia, wypadkach lub katastrofach.
zarządzanie ;; proces planowania, organizacji, kierowania i kontrolowania zasobów oraz działań w celu osiągnięcia określonych celów organizacji.
komik ;; osoba zajmująca się sztuką komediową, której celem jest rozbawienie publiczności poprzez kawały, skecze, monologi czy improwizację.
idol ;; przedmiot lub osoba, której oddaje się głęboką czcią lub uwielbieniem, często w kontekście religijnym lub kulturowym.
rodzicielstwo ;; stan oraz rola rodziców wychowujących i opiekujących się dziećmi, obejmujący zarówno aspekty fizyczne, emocjonalne, jak i społeczne.
projekcja ;; przedstawienie obiektu, zjawiska lub idei na powierzchni trójwymiarowej w celu zobrazowania go w sposób graficzny lub przybliżony.
obligo ;; hiszpańskie słowo oznaczające ""zobowiązuję"" lub ""zrzekam się"". może być używane w ramach formalnego zobowiązania lub deklaracji.
post ;; krótka wiadomość lub wpis umieszczany w mediach społecznościowych lub na blogach, zawierający treść, zdjęcia, filmy lub inne materiały, które użytkownik publikuje dla swoich obserwujących.
brzuszek ;; potoczne określenie na obszar brzucha, zwłaszcza u dzieci lub zwierząt, często używane w sposób czuły lub żartobliwy.
lekarz ;; osoba posiadająca odpowiednie wykształcenie i uprawnienia do wykonywania zawodu medycznego, zajmująca się diagnozowaniem, leczeniem oraz zapobieganiem chorobom i urazom u ludzi.
wystrzał ;; gwałtowne uwolnienie nagromadzonej energii w postaci dźwięku lub wyrzutu cząstek.
czarodziej ;; osoba posiadająca zdolności magiczne, która potrafi wykonywać zaklęcia i rzucanie uroków.
łańcuszek ;; niewielki łańcuch, najczęściej ozdobny, noszony jako biżuteria, zwykle na szyi lub nadgarstku.
listonosz ;; osoba odpowiedzialna za dostarczanie listów i przesyłek do adresatów.
aprecjacja ;; wzrost wartości lub pozytywne ocenianie jakiegoś zjawiska, przedmiotu lub osoby.
dorosłość ;; określeniem stanu osiągnięcia pełnej dojrzałości fizycznej, psychoemocjonalnej i społecznej przez jednostkę.
wyludnienie ;; proces polegający na zmniejszaniu się liczby ludności w danym obszarze, co może być spowodowane migracją, chorobami, wojnami lub czynnikami ekonomicznymi.
aparat ;; urządzenie służące do rejestrowania obrazów lub dźwięku.
najem ;; forma umowy, na mocy której jedna strona (najemca) zobowiązuje się do uiszczenia określonej opłaty za korzystanie z mienia lub usług drugiej strony (wynajmującego) na określony czas.
body ;; część ciała czy organizmu, która obejmuje sylwetkę lub strukturę fizyczną.
beczka ;; pojemny zbiornik w kształcie walca, zazwyczaj wykonany z drewna lub metalu, służący do przechowywania i transportu płynów, zwłaszcza alkoholi, oliw, czy wina.
mieszkanie ;; przestrzeń służąca do zamieszkania, będąca miejscem stałego lub czasowego pobytu człowieka lub grupy ludzi.
bezmyślność ;; stan braku świadomości, często charakteryzujący się działaniem bez refleksji i niewłaściwym rozważaniem konsekwencji.
remont ;; proces poprawy stanu technicznego, estetycznego lub funkcjonalnego budynku, pomieszczenia lub elementu infrastruktury poprzez naprawę, modernizację lub zmianę wyglądu.
transporter ;; urządzenie lub pojazd służący do przemieszczania osób lub przedmiotów z jednego miejsca do drugiego.
farmacja ;; dziedzina naukowa zajmująca się badaniem, produkcją, dystrybucją i stosowaniem leków oraz innych produktów farmaceutycznych, które mają na celu leczenie i zapobieganie chorobom.
klocek ;; mały element z tworzywa sztucznego, drewna lub innych materiałów, służący do układania i konstruowania różnych konstrukcji, głównie w grach dla dzieci.
bieżnik ;; wąski, zazwyczaj ozdobny pasek materiału używany do przyozdabiania stołów, narożników mebli itp.
sum ;; wynik dodawania dwóch lub większej liczby liczb.
syrop ;; gęsta, słodka ciecz otrzymywana przez zagęszczenie wody z dodatkiem cukru i różnych aromatycznych składników, często używana do słodzenia napojów lub potraw.
okręt ;; duże pływające jednostki przeznaczone do podróży po wodzie, służące do transportu osób, towarów lub służące celom wojskowym.
zastępczyni ;; żeńska osoba pełniąca funkcję zastępcy, zastępczyni lub zastępca.
odległość ;; miara dystansu pomiędzy dwoma punktami w przestrzeni, wyrażona zazwyczaj w jednostkach takich jak metry, kilometry czy mile.
plaga ;; nagła i powszechna epidemia choroby atakująca ludzi, zwierzęta lub rośliny.
